Allocate 513 x 2MB Page
      Type     Bytes   CPY(us)   REG(us)   DEG(us) REDEG(us) MLOCK(us)
   2M Page         8       0.3      22.8       9.4      32.2      11.4
   2M Page        16         0        10       6.9      16.9       2.2
   2M Page        32         0      14.7      13.1      27.8         1
   2M Page        64         0      11.3       6.9      18.2         1
   2M Page       128         0       9.8       6.9      16.7         1
   2M Page       256         0      13.8         7      20.8         1
   2M Page       512         0      10.1         7      17.1         1
   2M Page      1024         0      10.1         8      18.1         1
   2M Page      2048         0       9.7       6.8      16.5         1
   2M Page      4096         0        14       7.4      21.4         1
   2M Page      8192         0      11.2       6.9      18.1         1
   2M Page     16384       0.1      10.5         7      17.5       1.4
   2M Page     32768       2.1      15.1       7.5      22.6         1
   2M Page     65536       4.3      13.4       7.3      20.7         1
   2M Page    131072       9.6      13.2       8.1      21.3         1
   2M Page    262144      18.3      21.7       9.4      31.1         1
   2M Page    524288      39.2        21      10.9      31.9         1
   2M Page   1048576     155.8      26.7      14.1      40.8         1
   2M Page   2097152     426.8      41.3      21.2      62.5         2
   2M Page   4194304     966.6      60.9      33.4      94.3         3
   2M Page   8388608    2160.3     105.3      59.2     164.5         5
   2M Page  16777216    4438.7       281     121.1     402.1        13
   2M Page  33554432    9332.4     495.9     222.1       718      21.7
   2M Page  67108864   18625.6     913.2     422.6    1335.8      37.6
   2M Page 134217728   37257.6    1741.6     815.7    2557.3      83.4
   2M Page 268435456   75053.5    3466.3    1636.6    5102.9     148.9
   2M Page 536870912    150737    6863.8    3472.8   10336.6     273.1


      Type     Bytes   CPY(us)   REG(us)   DEG(us) REDEG(us) MLOCK(us)
   4K Page         8       0.1      21.5       8.6      30.1       6.1
   4K Page        16         0        16       9.6      25.6         4
   4K Page        32         0      11.6       6.8      18.4       5.2
   4K Page        64         0      10.2       6.4      16.6         4
   4K Page       128         0      14.8       7.4      22.2       4.1
   4K Page       256         0      11.3       7.4      18.7         4
   4K Page       512         0       9.8       6.1      15.9         4
   4K Page      1024         0      14.9       7.2      22.1       4.1
   4K Page      2048         0      10.1       8.2      18.3         4
   4K Page      4096       0.2      10.2       6.6      16.8       4.6
   4K Page      8192       0.1      15.1       7.2      22.3       4.6
   4K Page     16384       0.3      12.5         7      19.5       5.4
   4K Page     32768       2.4      14.4       7.1      21.5         7
   4K Page     65536       4.7      15.5       7.2      22.7      10.4
   4K Page    131072      11.7      24.3       8.6      32.9      14.7
   4K Page    262144        21      25.6       8.5      34.1      25.4
   4K Page    524288      43.4      40.5      10.7      51.2      43.9
   4K Page   1048576     191.5      67.2      14.6      81.8      84.2
   4K Page   2097152     524.5     110.8      20.4     131.2     165.5
   4K Page   4194304    1203.7     194.2      29.6     223.8       312
   4K Page   8388608    2738.3     332.7      90.4     423.1     469.3
   4K Page  16777216    5592.2     696.4     244.4     940.8     650.3
   4K Page  33554432   11802.8    1194.4     578.5    1772.9     817.9
   4K Page  67108864   23793.9    2094.9    1273.7    3368.6     964.8
   4K Page 134217728   47694.3    3917.5    2698.7    6616.2    1140.2
   4K Page 268435456   95559.9    7370.5    5603.4   12973.9    1289.2
   4K Page 536870912    254708   14991.3   12999.1   27990.4    1653.9

